sar_id,typology,country,risk_score,narrative
SAR21278,Rapid Movement of Funds,NG,0.71,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21279,Crypto Laundering,AE,0.95,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21280,Crypto Laundering,US,0.68,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21281,Shell Company Transfers,SG,0.84,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21282,Structuring,KY,0.73,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21283,Rapid Movement of Funds,IN,0.87,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21284,Mule Account,US,0.68,Large sums were moved across several jurisdictions within short time intervals.
SAR21285,Structuring,RU,0.91,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21286,Crypto Laundering,NG,0.97,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21287,Structuring,IN,0.76,Large sums were moved across several jurisdictions within short time intervals.
SAR21288,Layering,RU,0.73,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21289,Mule Account,IN,0.76,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21290,Shell Company Transfers,UK,0.79,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21291,Layering,UK,0.83,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21292,Shell Company Transfers,NG,0.96,Large sums were moved across several jurisdictions within short time intervals.
SAR21293,Trade Based Money Laundering,AE,0.88,Large sums were moved across several jurisdictions within short time intervals.
SAR21294,Round Tripping,UK,0.85,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21295,Layering,SG,0.71,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21296,Layering,IN,0.69,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21297,Shell Company Transfers,US,0.88,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21298,Trade Based Money Laundering,NG,0.86,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21299,Trade Based Money Laundering,AE,0.79,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21300,Crypto Laundering,SG,0.74,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21301,Structuring,RU,0.7,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21302,Structuring,US,0.91,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21303,Trade Based Money Laundering,AE,0.77,Large sums were moved across several jurisdictions within short time intervals.
SAR21304,Shell Company Transfers,AE,0.72,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21305,Structuring,RU,0.75,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21306,Trade Based Money Laundering,KY,0.95,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21307,Structuring,NG,0.69,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21308,Mule Account,NG,0.94,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21309,Mule Account,US,0.87,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21310,Mule Account,NG,0.93,Large sums were moved across several jurisdictions within short time intervals.
SAR21311,Shell Company Transfers,UK,0.78,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21312,Shell Company Transfers,SG,0.65,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21313,Crypto Laundering,AE,0.94,Large sums were moved across several jurisdictions within short time intervals.
SAR21314,Shell Company Transfers,NG,0.95,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21315,Crypto Laundering,RU,0.65,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21316,Round Tripping,SG,0.89,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21317,Round Tripping,SG,0.84,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21318,Rapid Movement of Funds,RU,0.82,Large sums were moved across several jurisdictions within short time intervals.
SAR21319,Round Tripping,AE,0.76,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21320,Structuring,IN,0.68,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21321,Crypto Laundering,KY,0.77,Large sums were moved across several jurisdictions within short time intervals.
SAR21322,Crypto Laundering,UK,0.84,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21323,Crypto Laundering,KY,0.73,Large sums were moved across several jurisdictions within short time intervals.
SAR21324,Layering,KY,0.98,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21325,Shell Company Transfers,IN,0.66,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21326,Round Tripping,KY,0.7,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21327,Crypto Laundering,US,0.83,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21328,Round Tripping,US,0.88,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21329,Crypto Laundering,KY,0.83,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21330,Mule Account,UK,0.84,Large sums were moved across several jurisdictions within short time intervals.
SAR21331,Shell Company Transfers,KY,0.72,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21332,Round Tripping,UK,0.7,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21333,Mule Account,KY,0.73,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21334,Shell Company Transfers,RU,0.82,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21335,Crypto Laundering,AE,0.73,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21336,Mule Account,US,0.81,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21337,Crypto Laundering,NG,0.65,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21338,Layering,UK,0.96,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21339,Shell Company Transfers,AE,0.97,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21340,Layering,RU,0.7,Large sums were moved across several jurisdictions within short time intervals.
SAR21341,Structuring,UK,0.97,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21342,Trade Based Money Laundering,IN,0.74,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21343,Crypto Laundering,KY,0.85,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21344,Trade Based Money Laundering,AE,0.7,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21345,Layering,UK,0.94,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21346,Crypto Laundering,IN,0.75,Large sums were moved across several jurisdictions within short time intervals.
SAR21347,Structuring,UK,0.96,Large sums were moved across several jurisdictions within short time intervals.
SAR21348,Shell Company Transfers,AE,0.78,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21349,Trade Based Money Laundering,UK,0.83,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21350,Round Tripping,SG,0.73,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21351,Crypto Laundering,AE,0.83,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21352,Rapid Movement of Funds,NG,0.69,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21353,Mule Account,RU,0.78,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21354,Mule Account,US,0.74,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21355,Shell Company Transfers,US,0.7,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21356,Mule Account,NG,0.7,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21357,Round Tripping,KY,0.79,Large sums were moved across several jurisdictions within short time intervals.
SAR21358,Round Tripping,US,0.78,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21359,Round Tripping,UK,0.68,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21360,Round Tripping,UK,0.79,Large sums were moved across several jurisdictions within short time intervals.
SAR21361,Mule Account,UK,0.79,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21362,Rapid Movement of Funds,SG,0.89,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21363,Layering,SG,0.97,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21364,Structuring,RU,0.83,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21365,Trade Based Money Laundering,RU,0.92,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21366,Round Tripping,RU,0.9,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21367,Layering,US,0.77,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21368,Crypto Laundering,KY,0.87,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21369,Crypto Laundering,US,0.67,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21370,Structuring,US,0.88,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21371,Trade Based Money Laundering,AE,0.97,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21372,Mule Account,SG,0.97,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21373,Layering,RU,0.72,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21374,Mule Account,NG,0.87,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21375,Layering,UK,0.92,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21376,Shell Company Transfers,KY,0.91,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21377,Structuring,RU,0.8,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21378,Shell Company Transfers,SG,0.92,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21379,Structuring,RU,0.67,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21380,Structuring,US,0.78,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21381,Structuring,AE,0.71,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21382,Structuring,IN,0.8,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21383,Structuring,IN,0.69,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21384,Mule Account,UK,0.96,Large sums were moved across several jurisdictions within short time intervals.
SAR21385,Mule Account,AE,0.89,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21386,Layering,KY,0.97,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21387,Mule Account,KY,0.76,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21388,Crypto Laundering,SG,0.72,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21389,Layering,RU,0.81,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21390,Rapid Movement of Funds,UK,0.75,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21391,Shell Company Transfers,AE,0.93,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21392,Mule Account,AE,0.98,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21393,Structuring,SG,0.93,Large sums were moved across several jurisdictions within short time intervals.
SAR21394,Crypto Laundering,KY,0.67,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21395,Crypto Laundering,IN,0.67,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21396,Layering,RU,0.96,Large sums were moved across several jurisdictions within short time intervals.
SAR21397,Structuring,US,0.73,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21398,Round Tripping,KY,0.66,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21399,Structuring,RU,0.94,Large sums were moved across several jurisdictions within short time intervals.
SAR21400,Layering,US,0.9,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21401,Layering,RU,0.7,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21402,Crypto Laundering,UK,0.94,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21403,Shell Company Transfers,NG,0.92,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21404,Mule Account,NG,0.92,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21405,Mule Account,RU,0.67,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21406,Shell Company Transfers,RU,0.7,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21407,Layering,UK,0.88,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21408,Crypto Laundering,AE,0.93,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21409,Shell Company Transfers,AE,0.81,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21410,Shell Company Transfers,IN,0.78,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21411,Crypto Laundering,US,0.71,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21412,Structuring,IN,0.79,Large sums were moved across several jurisdictions within short time intervals.
SAR21413,Structuring,SG,0.84,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21414,Crypto Laundering,US,0.8,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21415,Rapid Movement of Funds,IN,0.78,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21416,Shell Company Transfers,UK,0.85,Large sums were moved across several jurisdictions within short time intervals.
SAR21417,Round Tripping,IN,0.98,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21418,Rapid Movement of Funds,AE,0.86,Large sums were moved across several jurisdictions within short time intervals.
SAR21419,Layering,IN,0.81,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21420,Trade Based Money Laundering,NG,0.97,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21421,Rapid Movement of Funds,US,0.81,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21422,Layering,SG,0.72,Large sums were moved across several jurisdictions within short time intervals.
SAR21423,Rapid Movement of Funds,AE,0.68,Large sums were moved across several jurisdictions within short time intervals.
SAR21424,Shell Company Transfers,UK,0.94,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21425,Shell Company Transfers,RU,0.79,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21426,Crypto Laundering,AE,0.85,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21427,Structuring,UK,0.89,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21428,Structuring,NG,0.68,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21429,Rapid Movement of Funds,RU,0.72,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21430,Structuring,KY,0.73,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21431,Rapid Movement of Funds,AE,0.92,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21432,Mule Account,US,0.96,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21433,Round Tripping,IN,0.9,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21434,Mule Account,NG,0.77,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21435,Layering,US,0.66,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21436,Mule Account,RU,0.69,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21437,Crypto Laundering,NG,0.74,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21438,Crypto Laundering,NG,0.78,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21439,Structuring,AE,0.77,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21440,Layering,KY,0.68,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21441,Shell Company Transfers,AE,0.71,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21442,Shell Company Transfers,RU,0.96,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21443,Rapid Movement of Funds,UK,0.81,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21444,Structuring,NG,0.94,Large sums were moved across several jurisdictions within short time intervals.
SAR21445,Crypto Laundering,NG,0.88,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21446,Trade Based Money Laundering,AE,0.74,Large sums were moved across several jurisdictions within short time intervals.
SAR21447,Mule Account,KY,0.77,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21448,Rapid Movement of Funds,RU,0.67,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21449,Rapid Movement of Funds,KY,0.69,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21450,Rapid Movement of Funds,IN,0.76,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21451,Structuring,KY,0.97,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21452,Crypto Laundering,RU,0.97,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21453,Round Tripping,US,0.78,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21454,Trade Based Money Laundering,RU,0.71,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21455,Rapid Movement of Funds,RU,0.69,Large sums were moved across several jurisdictions within short time intervals.
SAR21456,Structuring,UK,0.98,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21457,Crypto Laundering,RU,0.71,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21458,Trade Based Money Laundering,NG,0.77,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21459,Crypto Laundering,AE,0.73,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21460,Layering,RU,0.75,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21461,Trade Based Money Laundering,KY,0.84,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21462,Mule Account,AE,0.8,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21463,Crypto Laundering,UK,0.87,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21464,Crypto Laundering,NG,0.79,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21465,Layering,RU,0.67,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21466,Mule Account,KY,0.8,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21467,Trade Based Money Laundering,US,0.78,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21468,Rapid Movement of Funds,IN,0.82,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21469,Structuring,KY,0.89,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21470,Rapid Movement of Funds,RU,0.77,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21471,Crypto Laundering,AE,0.76,Large sums were moved across several jurisdictions within short time intervals.
SAR21472,Mule Account,KY,0.97,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21473,Trade Based Money Laundering,SG,0.79,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21474,Layering,UK,0.85,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21475,Layering,UK,0.82,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21476,Layering,SG,0.7,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21477,Mule Account,NG,0.76,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21478,Round Tripping,UK,0.97,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21479,Layering,RU,0.85,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21480,Rapid Movement of Funds,RU,0.72,Large sums were moved across several jurisdictions within short time intervals.
SAR21481,Rapid Movement of Funds,UK,0.78,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21482,Shell Company Transfers,US,0.96,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21483,Crypto Laundering,UK,0.77,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21484,Rapid Movement of Funds,UK,0.75,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21485,Structuring,RU,0.71,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21486,Trade Based Money Laundering,UK,0.7,Large sums were moved across several jurisdictions within short time intervals.
SAR21487,Shell Company Transfers,UK,0.75,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21488,Rapid Movement of Funds,UK,0.89,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21489,Rapid Movement of Funds,IN,0.78,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21490,Structuring,NG,0.9,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21491,Trade Based Money Laundering,RU,0.93,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21492,Mule Account,SG,0.74,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21493,Structuring,KY,0.81,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21494,Shell Company Transfers,AE,0.72,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21495,Rapid Movement of Funds,IN,0.84,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21496,Crypto Laundering,IN,0.82,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21497,Trade Based Money Laundering,US,0.9,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21498,Structuring,SG,0.89,Large sums were moved across several jurisdictions within short time intervals.
SAR21499,Structuring,NG,0.95,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21500,Shell Company Transfers,AE,0.96,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21501,Mule Account,KY,0.82,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21502,Round Tripping,UK,0.85,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21503,Layering,US,0.93,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21504,Mule Account,KY,0.93,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21505,Rapid Movement of Funds,US,0.72,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21506,Shell Company Transfers,IN,0.77,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21507,Mule Account,US,0.83,Large sums were moved across several jurisdictions within short time intervals.
SAR21508,Shell Company Transfers,NG,0.67,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21509,Trade Based Money Laundering,IN,0.68,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21510,Crypto Laundering,RU,0.97,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21511,Round Tripping,KY,0.97,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21512,Structuring,US,0.87,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21513,Trade Based Money Laundering,RU,0.88,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21514,Trade Based Money Laundering,KY,0.66,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21515,Crypto Laundering,AE,0.72,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21516,Shell Company Transfers,NG,0.92,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21517,Layering,KY,0.94,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21518,Layering,NG,0.98,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21519,Shell Company Transfers,US,0.97,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21520,Rapid Movement of Funds,NG,0.68,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21521,Crypto Laundering,SG,0.8,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21522,Structuring,US,0.8,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21523,Mule Account,UK,0.96,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21524,Layering,UK,0.81,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21525,Layering,AE,0.96,The transaction chain indicates round-tripping behavior where funds return to the originating entity.
SAR21526,Structuring,US,0.91,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21527,Crypto Laundering,IN,0.72,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21528,Round Tripping,UK,0.96,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21529,Round Tripping,US,0.96,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21530,Rapid Movement of Funds,KY,0.97,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21531,Trade Based Money Laundering,KY,0.9,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21532,Trade Based Money Laundering,RU,0.83,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21533,Crypto Laundering,RU,0.85,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21534,Structuring,AE,0.79,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21535,Layering,RU,0.69,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21536,Mule Account,SG,0.72,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21537,Layering,AE,0.67,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21538,Trade Based Money Laundering,US,0.67,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21539,Structuring,UK,0.92,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21540,Rapid Movement of Funds,IN,0.73,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21541,Rapid Movement of Funds,UK,0.65,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21542,Layering,RU,0.91,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21543,Round Tripping,KY,0.7,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21544,Crypto Laundering,SG,0.94,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21545,Round Tripping,KY,0.82,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21546,Trade Based Money Laundering,SG,0.7,Trade transactions appear inconsistent with the customer's stated business profile.
SAR21547,Layering,SG,0.78,Funds were rapidly transferred through multiple intermediary accounts suggesting layering activity.
SAR21548,Crypto Laundering,RU,0.72,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21549,Layering,UK,0.96,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21550,Layering,AE,0.81,Large sums were moved across several jurisdictions within short time intervals.
SAR21551,Structuring,UK,0.93,Funds were sent to accounts linked to shell companies lacking operational presence.
SAR21552,Round Tripping,KY,0.92,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21553,Rapid Movement of Funds,NG,0.81,The subject conducted multiple transactions just below reporting thresholds indicating structuring behavior.
SAR21554,Mule Account,IN,0.83,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21555,Rapid Movement of Funds,NG,0.79,Transfers were directed toward cryptocurrency exchanges in high-risk jurisdictions.
SAR21556,Round Tripping,US,0.85,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
SAR21557,Crypto Laundering,UK,0.87,Account activity suggests involvement of mule accounts receiving and forwarding funds rapidly.
