entity,source,risk_type,risk_score,description,date
ACCT200249,Financial News Feed,Shell Company Association,0.57,Mentioned in regulatory investigation related to financial misconduct,2024-02-28
ACCT200231,Sanctions Watchlist,Negative Media,0.58,Linked to offshore shell company registered in Cayman Islands,2024-11-11
ACCT200411,Financial News Feed,Shell Company Association,0.6,Mentioned in regulatory investigation related to financial misconduct,2024-04-02
ACCT200179,Open Source Intelligence,Shell Company Association,0.92,Associated with high-risk cryptocurrency exchange activity,2024-03-19
ACCT200336,Financial News Feed,Fraud Investigation Mention,0.71,Linked to offshore shell company registered in Cayman Islands,2024-09-04
ACCT200189,Open Source Intelligence,Shell Company Association,0.83,Identified in sanctions advisory regarding suspicious financial networks,2024-06-29
CUST90257,Open Source Intelligence,Shell Company Association,0.8,Referenced in dark web forum discussing illicit financial transfers,2024-12-14
ACCT200437,Social Media Monitoring,Offshore Account Activity,0.83,Referenced in dark web forum discussing illicit financial transfers,2024-06-28
CUST90226,Sanctions Watchlist,Crypto Laundering Indicator,0.75,Identified in sanctions advisory regarding suspicious financial networks,2024-08-22
ACCT200325,Financial News Feed,Shell Company Association,0.95,Linked to offshore shell company registered in Cayman Islands,2025-07-24
ACCT200187,Regulatory Bulletin,Politically Exposed Person Link,0.94,Referenced in dark web forum discussing illicit financial transfers,2024-08-23
ACCT200238,Dark Web Monitoring,Crypto Laundering Indicator,0.85,Referenced in dark web forum discussing illicit financial transfers,2024-02-27
CUST90102,Sanctions Watchlist,Offshore Account Activity,0.6,Connected to politically exposed individual under investigation,2024-03-31
CUST90183,Financial News Feed,Shell Company Association,0.95,Identified in sanctions advisory regarding suspicious financial networks,2024-03-17
ACCT200091,Regulatory Bulletin,Negative Media,0.78,Mentioned in regulatory investigation related to financial misconduct,2024-11-20
ACCT200156,Social Media Monitoring,Fraud Investigation Mention,0.45,Mentioned in regulatory investigation related to financial misconduct,2024-09-24
CUST90022,Sanctions Watchlist,Offshore Account Activity,0.95,Referenced in dark web forum discussing illicit financial transfers,2024-06-18
ACCT200418,Sanctions Watchlist,Negative Media,0.78,Negative media coverage related to corruption allegations,2024-11-23
ACCT200186,Regulatory Bulletin,Terror Financing Link,0.72,Associated with high-risk cryptocurrency exchange activity,2025-01-26
CUST90085,Sanctions Watchlist,Negative Media,0.5,Negative media coverage related to corruption allegations,2025-02-25
ACCT200395,Dark Web Monitoring,Fraud Investigation Mention,0.64,Referenced in dark web forum discussing illicit financial transfers,2024-06-07
ACCT200234,Open Source Intelligence,Negative Media,0.71,Connected to politically exposed individual under investigation,2024-10-08
ACCT200162,Sanctions Watchlist,Crypto Laundering Indicator,0.84,Named in leaked documents involving offshore tax structures,2025-05-10
ACCT200068,Sanctions Watchlist,Shell Company Association,0.68,Identified in sanctions advisory regarding suspicious financial networks,2025-06-02
CUST90092,Dark Web Monitoring,Fraud Investigation Mention,0.61,Negative media coverage related to corruption allegations,2024-10-28
ACCT200356,Social Media Monitoring,Crypto Laundering Indicator,0.75,Named in leaked documents involving offshore tax structures,2025-06-02
ACCT200070,Sanctions Watchlist,Fraud Investigation Mention,0.49,Connected to politically exposed individual under investigation,2024-08-18
CUST90246,Social Media Monitoring,Negative Media,0.91,Identified in sanctions advisory regarding suspicious financial networks,2024-02-19
ACCT200316,Financial News Feed,Terror Financing Link,0.48,Negative media coverage related to corruption allegations,2024-11-03
ACCT200117,Open Source Intelligence,Sanctions Exposure,0.76,Associated with high-risk cryptocurrency exchange activity,2024-11-13
ACCT200200,Sanctions Watchlist,Sanctions Exposure,0.92,Named in leaked documents involving offshore tax structures,2024-12-02
CUST90281,Sanctions Watchlist,Terror Financing Link,0.63,Associated with high-risk cryptocurrency exchange activity,2024-02-19
ACCT200143,Dark Web Monitoring,Fraud Investigation Mention,0.66,Negative media coverage related to corruption allegations,2025-03-05
CUST90176,Dark Web Monitoring,Fraud Investigation Mention,0.51,Negative media coverage related to corruption allegations,2024-10-09
ACCT200040,Dark Web Monitoring,Shell Company Association,0.72,Named in leaked documents involving offshore tax structures,2025-05-14
ACCT200215,Regulatory Bulletin,Negative Media,0.65,Mentioned in regulatory investigation related to financial misconduct,2025-03-17
CUST90256,Social Media Monitoring,Fraud Investigation Mention,0.57,Negative media coverage related to corruption allegations,2024-11-09
ACCT200073,Regulatory Bulletin,Shell Company Association,0.48,Negative media coverage related to corruption allegations,2025-05-03
ACCT200340,Financial News Feed,Terror Financing Link,0.93,Connected to politically exposed individual under investigation,2024-07-25
CUST90059,Social Media Monitoring,Offshore Account Activity,0.92,Linked to offshore shell company registered in Cayman Islands,2025-07-29
ACCT200175,Dark Web Monitoring,Fraud Investigation Mention,0.96,Referenced in dark web forum discussing illicit financial transfers,2025-07-09
ACCT200321,Regulatory Bulletin,Sanctions Exposure,0.65,Connected to politically exposed individual under investigation,2024-08-17
CUST90011,Sanctions Watchlist,Sanctions Exposure,0.92,Referenced in dark web forum discussing illicit financial transfers,2025-01-18
ACCT200335,Regulatory Bulletin,Offshore Account Activity,0.58,Negative media coverage related to corruption allegations,2025-07-30
ACCT200370,Financial News Feed,Politically Exposed Person Link,0.85,Linked to offshore shell company registered in Cayman Islands,2025-08-23
ACCT200019,Sanctions Watchlist,Fraud Investigation Mention,0.78,Connected to politically exposed individual under investigation,2025-06-07
ACCT200044,Regulatory Bulletin,Shell Company Association,0.71,Linked to offshore shell company registered in Cayman Islands,2024-07-15
ACCT200047,Dark Web Monitoring,Negative Media,0.96,Connected to politically exposed individual under investigation,2024-01-01
CUST90094,Sanctions Watchlist,Terror Financing Link,0.6,Connected to politically exposed individual under investigation,2024-11-09
ACCT200198,Dark Web Monitoring,Politically Exposed Person Link,0.7,Named in leaked documents involving offshore tax structures,2024-01-26
CUST90262,Dark Web Monitoring,Politically Exposed Person Link,0.55,Negative media coverage related to corruption allegations,2024-09-02
CUST90009,Sanctions Watchlist,Negative Media,0.93,Identified in sanctions advisory regarding suspicious financial networks,2024-05-24
CUST90087,Open Source Intelligence,Shell Company Association,0.58,Negative media coverage related to corruption allegations,2025-01-03
ACCT200373,Open Source Intelligence,Crypto Laundering Indicator,0.85,Negative media coverage related to corruption allegations,2024-04-06
ACCT200399,Regulatory Bulletin,Shell Company Association,0.93,Identified in sanctions advisory regarding suspicious financial networks,2025-02-16
CUST90025,Sanctions Watchlist,Fraud Investigation Mention,0.84,Associated with high-risk cryptocurrency exchange activity,2024-10-30
CUST90279,Dark Web Monitoring,Fraud Investigation Mention,0.52,Named in leaked documents involving offshore tax structures,2025-04-08
ACCT200169,Regulatory Bulletin,Terror Financing Link,0.82,Connected to politically exposed individual under investigation,2024-04-20
CUST90269,Dark Web Monitoring,Offshore Account Activity,0.91,Negative media coverage related to corruption allegations,2025-04-24
CUST90030,Open Source Intelligence,Fraud Investigation Mention,0.78,Mentioned in regulatory investigation related to financial misconduct,2024-04-24
CUST90218,Open Source Intelligence,Sanctions Exposure,0.81,Mentioned in regulatory investigation related to financial misconduct,2024-04-28
CUST90271,Open Source Intelligence,Politically Exposed Person Link,0.55,Identified in sanctions advisory regarding suspicious financial networks,2024-05-13
ACCT200238,Sanctions Watchlist,Terror Financing Link,0.55,Identified in sanctions advisory regarding suspicious financial networks,2024-07-28
ACCT200481,Sanctions Watchlist,Negative Media,0.92,Identified in sanctions advisory regarding suspicious financial networks,2025-03-30
ACCT200396,Open Source Intelligence,Crypto Laundering Indicator,0.67,Connected to politically exposed individual under investigation,2025-05-22
CUST90286,Sanctions Watchlist,Sanctions Exposure,0.58,Negative media coverage related to corruption allegations,2024-05-10
CUST90280,Sanctions Watchlist,Crypto Laundering Indicator,0.9,Referenced in dark web forum discussing illicit financial transfers,2024-03-30
ACCT200214,Financial News Feed,Terror Financing Link,0.9,Referenced in dark web forum discussing illicit financial transfers,2024-11-04
CUST90286,Financial News Feed,Politically Exposed Person Link,0.8,Connected to politically exposed individual under investigation,2024-08-24
CUST90015,Regulatory Bulletin,Crypto Laundering Indicator,0.68,Referenced in dark web forum discussing illicit financial transfers,2025-06-18
ACCT200030,Sanctions Watchlist,Fraud Investigation Mention,0.86,Mentioned in regulatory investigation related to financial misconduct,2025-06-05
ACCT200426,Social Media Monitoring,Politically Exposed Person Link,0.87,Named in leaked documents involving offshore tax structures,2025-06-10
ACCT200383,Regulatory Bulletin,Offshore Account Activity,0.48,Negative media coverage related to corruption allegations,2025-03-20
ACCT200432,Financial News Feed,Politically Exposed Person Link,0.48,Mentioned in regulatory investigation related to financial misconduct,2025-03-20
CUST90175,Sanctions Watchlist,Sanctions Exposure,0.77,Identified in sanctions advisory regarding suspicious financial networks,2024-07-26
CUST90013,Regulatory Bulletin,Crypto Laundering Indicator,0.8,Referenced in dark web forum discussing illicit financial transfers,2024-10-22
CUST90222,Sanctions Watchlist,Sanctions Exposure,0.89,Connected to politically exposed individual under investigation,2024-09-15
CUST90220,Open Source Intelligence,Sanctions Exposure,0.87,Negative media coverage related to corruption allegations,2024-12-21
CUST90027,Financial News Feed,Shell Company Association,0.71,Referenced in dark web forum discussing illicit financial transfers,2025-01-10
ACCT200366,Sanctions Watchlist,Fraud Investigation Mention,0.9,Named in leaked documents involving offshore tax structures,2025-08-17
ACCT200111,Open Source Intelligence,Fraud Investigation Mention,0.8,Identified in sanctions advisory regarding suspicious financial networks,2025-03-11
CUST90133,Dark Web Monitoring,Sanctions Exposure,0.66,Linked to offshore shell company registered in Cayman Islands,2024-07-18
ACCT200305,Social Media Monitoring,Crypto Laundering Indicator,0.6,Connected to politically exposed individual under investigation,2024-10-04
CUST90289,Financial News Feed,Politically Exposed Person Link,0.8,Mentioned in regulatory investigation related to financial misconduct,2024-08-23
CUST90183,Dark Web Monitoring,Fraud Investigation Mention,0.8,Linked to offshore shell company registered in Cayman Islands,2025-08-12
ACCT200446,Dark Web Monitoring,Fraud Investigation Mention,0.58,Linked to offshore shell company registered in Cayman Islands,2025-08-04
CUST90108,Financial News Feed,Politically Exposed Person Link,0.56,Named in leaked documents involving offshore tax structures,2025-06-12
ACCT200249,Dark Web Monitoring,Shell Company Association,0.73,Identified in sanctions advisory regarding suspicious financial networks,2024-09-16
CUST90013,Dark Web Monitoring,Offshore Account Activity,0.85,Linked to offshore shell company registered in Cayman Islands,2024-01-20
ACCT200156,Dark Web Monitoring,Negative Media,0.76,Associated with high-risk cryptocurrency exchange activity,2024-01-25
ACCT200132,Open Source Intelligence,Terror Financing Link,0.65,Referenced in dark web forum discussing illicit financial transfers,2024-09-13
ACCT200111,Financial News Feed,Shell Company Association,0.68,Identified in sanctions advisory regarding suspicious financial networks,2025-07-17
ACCT200283,Regulatory Bulletin,Sanctions Exposure,0.98,Negative media coverage related to corruption allegations,2025-03-27
CUST90104,Regulatory Bulletin,Politically Exposed Person Link,0.81,Negative media coverage related to corruption allegations,2024-11-26
ACCT200480,Social Media Monitoring,Sanctions Exposure,0.69,Referenced in dark web forum discussing illicit financial transfers,2025-03-29
ACCT200162,Dark Web Monitoring,Sanctions Exposure,0.63,Referenced in dark web forum discussing illicit financial transfers,2024-08-14
CUST90202,Sanctions Watchlist,Politically Exposed Person Link,0.83,Negative media coverage related to corruption allegations,2024-09-12
ACCT200368,Financial News Feed,Sanctions Exposure,0.7,Mentioned in regulatory investigation related to financial misconduct,2025-07-30
ACCT200217,Financial News Feed,Offshore Account Activity,0.57,Associated with high-risk cryptocurrency exchange activity,2024-09-25
ACCT200350,Social Media Monitoring,Shell Company Association,0.86,Identified in sanctions advisory regarding suspicious financial networks,2025-04-16
CUST90025,Open Source Intelligence,Offshore Account Activity,0.95,Negative media coverage related to corruption allegations,2025-08-19
CUST90022,Social Media Monitoring,Negative Media,0.59,Negative media coverage related to corruption allegations,2024-08-16
ACCT200078,Sanctions Watchlist,Sanctions Exposure,0.81,Linked to offshore shell company registered in Cayman Islands,2024-12-30
ACCT200495,Open Source Intelligence,Negative Media,0.94,Negative media coverage related to corruption allegations,2024-09-01
CUST90150,Social Media Monitoring,Fraud Investigation Mention,0.59,Named in leaked documents involving offshore tax structures,2024-12-29
ACCT200156,Dark Web Monitoring,Negative Media,0.45,Associated with high-risk cryptocurrency exchange activity,2025-01-03
ACCT200208,Social Media Monitoring,Shell Company Association,0.64,Referenced in dark web forum discussing illicit financial transfers,2024-10-12
ACCT200251,Social Media Monitoring,Sanctions Exposure,0.72,Referenced in dark web forum discussing illicit financial transfers,2025-01-07
CUST90286,Social Media Monitoring,Terror Financing Link,0.78,Mentioned in regulatory investigation related to financial misconduct,2025-07-13
CUST90270,Dark Web Monitoring,Politically Exposed Person Link,0.74,Connected to politically exposed individual under investigation,2025-03-19
CUST90136,Regulatory Bulletin,Crypto Laundering Indicator,0.79,Negative media coverage related to corruption allegations,2024-09-19
CUST90226,Sanctions Watchlist,Negative Media,0.91,Mentioned in regulatory investigation related to financial misconduct,2024-10-25
ACCT200431,Sanctions Watchlist,Offshore Account Activity,0.81,Mentioned in regulatory investigation related to financial misconduct,2024-01-26
ACCT200270,Regulatory Bulletin,Shell Company Association,0.76,Associated with high-risk cryptocurrency exchange activity,2024-05-24
ACCT200031,Open Source Intelligence,Politically Exposed Person Link,0.67,Connected to politically exposed individual under investigation,2025-02-20
ACCT200233,Social Media Monitoring,Fraud Investigation Mention,0.81,Linked to offshore shell company registered in Cayman Islands,2025-03-04
ACCT200009,Financial News Feed,Crypto Laundering Indicator,0.8,Mentioned in regulatory investigation related to financial misconduct,2025-01-24
ACCT200255,Open Source Intelligence,Shell Company Association,0.75,Mentioned in regulatory investigation related to financial misconduct,2025-04-07
CUST90093,Sanctions Watchlist,Offshore Account Activity,0.48,Named in leaked documents involving offshore tax structures,2025-01-13
ACCT200453,Financial News Feed,Fraud Investigation Mention,0.87,Negative media coverage related to corruption allegations,2024-07-03
CUST90093,Open Source Intelligence,Shell Company Association,0.51,Identified in sanctions advisory regarding suspicious financial networks,2024-05-19
ACCT200495,Open Source Intelligence,Offshore Account Activity,0.5,Linked to offshore shell company registered in Cayman Islands,2025-06-15
ACCT200363,Open Source Intelligence,Shell Company Association,0.9,Mentioned in regulatory investigation related to financial misconduct,2025-03-24
CUST90265,Sanctions Watchlist,Shell Company Association,0.55,Mentioned in regulatory investigation related to financial misconduct,2024-04-12
ACCT200183,Dark Web Monitoring,Offshore Account Activity,0.52,Named in leaked documents involving offshore tax structures,2024-11-01
CUST90151,Social Media Monitoring,Shell Company Association,0.64,Linked to offshore shell company registered in Cayman Islands,2024-01-09
ACCT200260,Dark Web Monitoring,Fraud Investigation Mention,0.89,Connected to politically exposed individual under investigation,2024-04-04
ACCT200014,Open Source Intelligence,Politically Exposed Person Link,0.73,Negative media coverage related to corruption allegations,2024-03-02
ACCT200489,Financial News Feed,Sanctions Exposure,0.63,Mentioned in regulatory investigation related to financial misconduct,2025-08-12
ACCT200452,Social Media Monitoring,Offshore Account Activity,0.54,Mentioned in regulatory investigation related to financial misconduct,2025-07-19
CUST90298,Dark Web Monitoring,Shell Company Association,0.61,Mentioned in regulatory investigation related to financial misconduct,2024-11-10
ACCT200387,Open Source Intelligence,Offshore Account Activity,0.86,Named in leaked documents involving offshore tax structures,2024-10-02
ACCT200094,Regulatory Bulletin,Sanctions Exposure,0.83,Identified in sanctions advisory regarding suspicious financial networks,2024-09-08
ACCT200058,Social Media Monitoring,Fraud Investigation Mention,0.84,Identified in sanctions advisory regarding suspicious financial networks,2025-01-07
ACCT200389,Sanctions Watchlist,Shell Company Association,0.81,Mentioned in regulatory investigation related to financial misconduct,2025-07-09
ACCT200048,Dark Web Monitoring,Shell Company Association,0.74,Connected to politically exposed individual under investigation,2024-01-04
ACCT200139,Dark Web Monitoring,Politically Exposed Person Link,0.58,Linked to offshore shell company registered in Cayman Islands,2025-05-28
ACCT200465,Dark Web Monitoring,Negative Media,0.73,Mentioned in regulatory investigation related to financial misconduct,2024-02-22
ACCT200414,Social Media Monitoring,Crypto Laundering Indicator,0.5,Negative media coverage related to corruption allegations,2024-08-16
ACCT200098,Dark Web Monitoring,Crypto Laundering Indicator,0.74,Linked to offshore shell company registered in Cayman Islands,2024-11-24
ACCT200040,Dark Web Monitoring,Politically Exposed Person Link,0.78,Linked to offshore shell company registered in Cayman Islands,2024-07-13
CUST90025,Open Source Intelligence,Offshore Account Activity,0.45,Associated with high-risk cryptocurrency exchange activity,2024-07-20
CUST90077,Sanctions Watchlist,Politically Exposed Person Link,0.94,Named in leaked documents involving offshore tax structures,2025-01-21
ACCT200220,Sanctions Watchlist,Terror Financing Link,0.46,Connected to politically exposed individual under investigation,2025-05-28
CUST90130,Regulatory Bulletin,Fraud Investigation Mention,0.96,Named in leaked documents involving offshore tax structures,2025-02-05
CUST90028,Financial News Feed,Politically Exposed Person Link,0.76,Negative media coverage related to corruption allegations,2025-07-19
CUST90194,Dark Web Monitoring,Sanctions Exposure,0.81,Mentioned in regulatory investigation related to financial misconduct,2024-08-02
CUST90059,Regulatory Bulletin,Terror Financing Link,0.47,Named in leaked documents involving offshore tax structures,2024-02-29
CUST90219,Open Source Intelligence,Politically Exposed Person Link,0.55,Linked to offshore shell company registered in Cayman Islands,2025-02-05
CUST90206,Social Media Monitoring,Shell Company Association,0.77,Connected to politically exposed individual under investigation,2025-08-08
ACCT200357,Regulatory Bulletin,Politically Exposed Person Link,0.96,Mentioned in regulatory investigation related to financial misconduct,2024-03-30
ACCT200182,Sanctions Watchlist,Negative Media,0.51,Negative media coverage related to corruption allegations,2025-05-16
CUST90264,Regulatory Bulletin,Offshore Account Activity,0.64,Mentioned in regulatory investigation related to financial misconduct,2024-01-27
ACCT200126,Open Source Intelligence,Terror Financing Link,0.63,Identified in sanctions advisory regarding suspicious financial networks,2024-02-28
ACCT200096,Sanctions Watchlist,Offshore Account Activity,0.66,Linked to offshore shell company registered in Cayman Islands,2024-11-19
ACCT200275,Open Source Intelligence,Shell Company Association,0.8,Linked to offshore shell company registered in Cayman Islands,2025-07-29
ACCT200277,Open Source Intelligence,Fraud Investigation Mention,0.83,Named in leaked documents involving offshore tax structures,2025-01-16
CUST90111,Financial News Feed,Offshore Account Activity,0.49,Identified in sanctions advisory regarding suspicious financial networks,2024-06-11
ACCT200151,Open Source Intelligence,Offshore Account Activity,0.46,Referenced in dark web forum discussing illicit financial transfers,2025-01-14
ACCT200433,Social Media Monitoring,Terror Financing Link,0.74,Associated with high-risk cryptocurrency exchange activity,2025-03-08
CUST90077,Sanctions Watchlist,Crypto Laundering Indicator,0.73,Negative media coverage related to corruption allegations,2024-11-06
ACCT200181,Financial News Feed,Terror Financing Link,0.86,Named in leaked documents involving offshore tax structures,2025-08-02
ACCT200023,Sanctions Watchlist,Terror Financing Link,0.9,Referenced in dark web forum discussing illicit financial transfers,2024-02-17
ACCT200496,Sanctions Watchlist,Politically Exposed Person Link,0.53,Negative media coverage related to corruption allegations,2024-03-08
ACCT200025,Open Source Intelligence,Fraud Investigation Mention,0.51,Mentioned in regulatory investigation related to financial misconduct,2024-06-02
ACCT200383,Dark Web Monitoring,Terror Financing Link,0.5,Negative media coverage related to corruption allegations,2024-05-04
CUST90184,Social Media Monitoring,Crypto Laundering Indicator,0.87,Named in leaked documents involving offshore tax structures,2025-05-07
CUST90178,Regulatory Bulletin,Terror Financing Link,0.9,Identified in sanctions advisory regarding suspicious financial networks,2024-04-28
ACCT200137,Financial News Feed,Politically Exposed Person Link,0.7,Mentioned in regulatory investigation related to financial misconduct,2025-03-30
ACCT200316,Regulatory Bulletin,Fraud Investigation Mention,0.55,Identified in sanctions advisory regarding suspicious financial networks,2025-04-09
CUST90079,Regulatory Bulletin,Sanctions Exposure,0.48,Named in leaked documents involving offshore tax structures,2024-06-10
CUST90026,Sanctions Watchlist,Fraud Investigation Mention,0.5,Negative media coverage related to corruption allegations,2025-06-28
CUST90172,Open Source Intelligence,Politically Exposed Person Link,0.5,Named in leaked documents involving offshore tax structures,2024-04-04
ACCT200402,Regulatory Bulletin,Negative Media,0.47,Linked to offshore shell company registered in Cayman Islands,2025-03-09
CUST90073,Sanctions Watchlist,Crypto Laundering Indicator,0.52,Identified in sanctions advisory regarding suspicious financial networks,2024-08-27
CUST90220,Open Source Intelligence,Shell Company Association,0.83,Negative media coverage related to corruption allegations,2025-08-11
CUST90153,Sanctions Watchlist,Sanctions Exposure,0.51,Referenced in dark web forum discussing illicit financial transfers,2024-06-30
ACCT200040,Regulatory Bulletin,Politically Exposed Person Link,0.64,Identified in sanctions advisory regarding suspicious financial networks,2024-06-30
ACCT200068,Regulatory Bulletin,Sanctions Exposure,0.9,Associated with high-risk cryptocurrency exchange activity,2024-12-23
CUST90211,Social Media Monitoring,Terror Financing Link,0.7,Named in leaked documents involving offshore tax structures,2024-10-05
ACCT200494,Social Media Monitoring,Offshore Account Activity,0.86,Negative media coverage related to corruption allegations,2025-06-24
ACCT200240,Regulatory Bulletin,Terror Financing Link,0.48,Identified in sanctions advisory regarding suspicious financial networks,2024-05-15
ACCT200051,Financial News Feed,Crypto Laundering Indicator,0.5,Associated with high-risk cryptocurrency exchange activity,2024-03-02
CUST90065,Sanctions Watchlist,Shell Company Association,0.54,Identified in sanctions advisory regarding suspicious financial networks,2024-05-27
ACCT200040,Dark Web Monitoring,Sanctions Exposure,0.58,Named in leaked documents involving offshore tax structures,2025-01-11
ACCT200194,Open Source Intelligence,Politically Exposed Person Link,0.86,Named in leaked documents involving offshore tax structures,2024-12-28
ACCT200028,Regulatory Bulletin,Sanctions Exposure,0.8,Mentioned in regulatory investigation related to financial misconduct,2024-11-29
CUST90170,Sanctions Watchlist,Shell Company Association,0.6,Connected to politically exposed individual under investigation,2024-09-22
ACCT200192,Regulatory Bulletin,Negative Media,0.5,Negative media coverage related to corruption allegations,2024-05-21
ACCT200464,Financial News Feed,Terror Financing Link,0.63,Connected to politically exposed individual under investigation,2024-04-27
ACCT200388,Financial News Feed,Fraud Investigation Mention,0.95,Linked to offshore shell company registered in Cayman Islands,2024-02-16
CUST90068,Sanctions Watchlist,Terror Financing Link,0.75,Named in leaked documents involving offshore tax structures,2025-07-21
ACCT200078,Social Media Monitoring,Shell Company Association,0.6,Mentioned in regulatory investigation related to financial misconduct,2024-12-25
ACCT200179,Dark Web Monitoring,Offshore Account Activity,0.79,Connected to politically exposed individual under investigation,2024-11-19
CUST90178,Dark Web Monitoring,Politically Exposed Person Link,0.62,Mentioned in regulatory investigation related to financial misconduct,2024-10-15
CUST90050,Open Source Intelligence,Sanctions Exposure,0.7,Associated with high-risk cryptocurrency exchange activity,2024-05-05
CUST90133,Open Source Intelligence,Terror Financing Link,0.64,Negative media coverage related to corruption allegations,2025-08-17
ACCT200241,Regulatory Bulletin,Fraud Investigation Mention,0.83,Linked to offshore shell company registered in Cayman Islands,2024-12-18
ACCT200103,Social Media Monitoring,Terror Financing Link,0.49,Negative media coverage related to corruption allegations,2024-10-06
ACCT200495,Social Media Monitoring,Sanctions Exposure,0.63,Associated with high-risk cryptocurrency exchange activity,2025-05-15
CUST90221,Social Media Monitoring,Offshore Account Activity,0.52,Named in leaked documents involving offshore tax structures,2025-06-15
ACCT200038,Dark Web Monitoring,Politically Exposed Person Link,0.87,Linked to offshore shell company registered in Cayman Islands,2024-07-21
ACCT200292,Dark Web Monitoring,Sanctions Exposure,0.89,Negative media coverage related to corruption allegations,2025-06-13
CUST90133,Regulatory Bulletin,Politically Exposed Person Link,0.6,Referenced in dark web forum discussing illicit financial transfers,2024-06-30
ACCT200380,Sanctions Watchlist,Offshore Account Activity,0.62,Connected to politically exposed individual under investigation,2024-09-17
CUST90233,Social Media Monitoring,Politically Exposed Person Link,0.46,Referenced in dark web forum discussing illicit financial transfers,2024-12-30
ACCT200098,Financial News Feed,Offshore Account Activity,0.71,Associated with high-risk cryptocurrency exchange activity,2025-08-05
ACCT200309,Financial News Feed,Crypto Laundering Indicator,0.78,Identified in sanctions advisory regarding suspicious financial networks,2024-10-22
ACCT200202,Sanctions Watchlist,Terror Financing Link,0.47,Named in leaked documents involving offshore tax structures,2024-07-01
CUST90186,Dark Web Monitoring,Fraud Investigation Mention,0.56,Mentioned in regulatory investigation related to financial misconduct,2025-01-28
ACCT200057,Social Media Monitoring,Fraud Investigation Mention,0.78,Associated with high-risk cryptocurrency exchange activity,2024-11-12
ACCT200363,Financial News Feed,Shell Company Association,0.49,Connected to politically exposed individual under investigation,2024-11-01
ACCT200133,Regulatory Bulletin,Negative Media,0.86,Connected to politically exposed individual under investigation,2025-01-26
ACCT200141,Financial News Feed,Politically Exposed Person Link,0.62,Mentioned in regulatory investigation related to financial misconduct,2025-08-13
ACCT200163,Dark Web Monitoring,Offshore Account Activity,0.67,Referenced in dark web forum discussing illicit financial transfers,2024-04-27
ACCT200062,Sanctions Watchlist,Fraud Investigation Mention,0.69,Identified in sanctions advisory regarding suspicious financial networks,2025-04-20
ACCT200015,Open Source Intelligence,Shell Company Association,0.71,Named in leaked documents involving offshore tax structures,2024-06-28
ACCT200086,Sanctions Watchlist,Crypto Laundering Indicator,0.62,Referenced in dark web forum discussing illicit financial transfers,2025-04-21
ACCT200231,Financial News Feed,Sanctions Exposure,0.78,Referenced in dark web forum discussing illicit financial transfers,2024-03-26
CUST90072,Dark Web Monitoring,Offshore Account Activity,0.68,Connected to politically exposed individual under investigation,2025-03-16
CUST90235,Regulatory Bulletin,Shell Company Association,0.47,Named in leaked documents involving offshore tax structures,2025-07-01
ACCT200484,Social Media Monitoring,Negative Media,0.58,Named in leaked documents involving offshore tax structures,2024-10-17
ACCT200369,Open Source Intelligence,Negative Media,0.81,Linked to offshore shell company registered in Cayman Islands,2025-06-21
ACCT200030,Dark Web Monitoring,Shell Company Association,0.87,Named in leaked documents involving offshore tax structures,2024-04-23
ACCT200071,Sanctions Watchlist,Terror Financing Link,0.67,Associated with high-risk cryptocurrency exchange activity,2024-03-15
ACCT200059,Dark Web Monitoring,Crypto Laundering Indicator,0.65,Named in leaked documents involving offshore tax structures,2024-06-17
CUST90288,Dark Web Monitoring,Offshore Account Activity,0.56,Associated with high-risk cryptocurrency exchange activity,2024-07-19
ACCT200086,Open Source Intelligence,Crypto Laundering Indicator,0.84,Named in leaked documents involving offshore tax structures,2024-07-25
ACCT200036,Financial News Feed,Shell Company Association,0.58,Named in leaked documents involving offshore tax structures,2024-03-16
ACCT200324,Dark Web Monitoring,Offshore Account Activity,0.83,Identified in sanctions advisory regarding suspicious financial networks,2024-03-24
CUST90021,Dark Web Monitoring,Offshore Account Activity,0.77,Connected to politically exposed individual under investigation,2024-06-29
ACCT200478,Regulatory Bulletin,Terror Financing Link,0.85,Named in leaked documents involving offshore tax structures,2024-01-24
CUST90127,Dark Web Monitoring,Offshore Account Activity,0.91,Referenced in dark web forum discussing illicit financial transfers,2025-06-21
ACCT200294,Dark Web Monitoring,Crypto Laundering Indicator,0.95,Identified in sanctions advisory regarding suspicious financial networks,2024-01-06
CUST90004,Dark Web Monitoring,Crypto Laundering Indicator,0.95,Connected to politically exposed individual under investigation,2025-07-28
ACCT200491,Social Media Monitoring,Offshore Account Activity,0.66,Identified in sanctions advisory regarding suspicious financial networks,2025-06-04
CUST90156,Sanctions Watchlist,Crypto Laundering Indicator,0.94,Negative media coverage related to corruption allegations,2025-07-08
ACCT200110,Sanctions Watchlist,Shell Company Association,0.55,Connected to politically exposed individual under investigation,2024-06-21
ACCT200016,Dark Web Monitoring,Politically Exposed Person Link,0.66,Identified in sanctions advisory regarding suspicious financial networks,2024-12-05
ACCT200167,Regulatory Bulletin,Terror Financing Link,0.72,Identified in sanctions advisory regarding suspicious financial networks,2025-07-10
ACCT200022,Social Media Monitoring,Crypto Laundering Indicator,0.61,Named in leaked documents involving offshore tax structures,2025-07-09
CUST90111,Social Media Monitoring,Negative Media,0.85,Named in leaked documents involving offshore tax structures,2024-05-14
